County,District,Existing in CIBAR,Police Department (Current CIBAR),Police Department (Expected),Department Match,Police Precinct,Police Station / Substation,Station Resolution Quality,Prosecutors Office (Current CIBAR),Prosecutors Office (Expected),District Court (Current CIBAR),District Court (Expected),Justice Match,Area Code (Current CIBAR),Area Code (Expected),Area Code Match,Confidence,Source / Notes
臺北市,中正區,no,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,大同區,no,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,中山區,yes,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,松山區,no,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,大安區,yes,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,萬華區,no,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,信義區,yes,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,士林區,no,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣士林地方檢察署,臺灣臺北地方法院,臺灣士林地方法院,no,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,北投區,no,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣士林地方檢察署,臺灣臺北地方法院,臺灣士林地方法院,no,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,內湖區,no,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
臺北市,南港區,no,臺北市政府警察局,臺北市政府警察局,yes,unknown — not in CIBAR,unknown — no jurisdiction dataset,unknown,臺灣臺北地方檢察署,臺灣臺北地方檢察署,臺灣臺北地方法院,臺灣臺北地方法院,yes,02,02,yes,A (division/department/area); X (precinct/station); A (listed justice exceptions),MOI/NPA/Judicial Yuan/NCC; see audit source register
